id,num_orders
1028232,129.425
1262649,182.645
1453211,137.535
1262599,112.115
1495848,89.12
1342607,182.645
1358429,182.645
1475006,89.12
1009709,129.425
1460444,1632.0900000000004
1476535,913.299
1297121,611.8610000000001
1141103,1080.6834999999999
1274933,1054.0372499999999
1435122,1061.17475
1486477,1054.0372499999999
1195364,913.299
1301491,611.8610000000001
1059056,1054.0372499999999
1098228,832.676083333333
1080847,818.326083333333
1064602,881.4698333333331
1093227,881.4698333333331
1177861,585.8690833333334
1259611,585.8690833333334
1274836,941.9596666666663
1030333,896.9013333333329
1249982,896.9013333333329
1188591,896.9013333333329
1316160,710.71725
1419545,710.71725
1062437,710.71725
1181575,805.7405
1143023,336.04224999999997
1278339,710.71725
1282203,710.71725
1080746,710.71725
1296937,710.71725
1210564,707.6722500000001
1390579,294.66
1436947,297.4919047619048
1045739,269.953238095238
1318087,257.36432142857143
1223698,282.1099047619048
1436625,257.36432142857143
1383644,199.32325
1045356,182.187
1121593,281.00540476190474
1114635,297.4919047619048
1332667,1301.1220833333332
1039351,998.5864999999998
1319273,1015.7050833333332
1305518,1015.7050833333332
1327143,998.5864999999998
1272171,1220.005
1223757,863.11
1090089,863.11
1128850,1220.005
1446344,1015.7050833333332
1237947,679.95625
1452835,679.95625
1029462,674.98625
1365321,676.16625
1377892,722.895
1378346,722.895
1261333,679.95625
1427333,679.95625
1157382,679.95625
1168967,679.95625
1306954,1611.2775
1342909,780.8555
1244760,1604.8938333333333
1431361,621.12
1276681,1611.2775
1148958,1604.8938333333333
1184174,780.8555
1323560,780.8555
1066229,1604.8938333333333
1025558,780.8555
1083889,319.99399999999997
1378453,272.4343333333333
1434331,320.62833333333333
1311554,319.99399999999997
1111904,275.58824999999996
1430955,241.87265476190476
1455829,275.58824999999996
1182896,272.4343333333333
1205862,166.76863095238096
1215917,259.1534642857142
1409427,192.885
1100468,149.325
1411863,105.745
1010693,211.29
1004925,113.66
1265382,113.66
1239027,113.66
1462013,224.5
1464784,192.885
1440692,176.465
1268331,230.09
1030648,303.976
1033468,369.51
1452010,369.51
1164883,245.615
1265395,334.876
1214244,364.82099999999997
1307226,283.815
1425834,385.276
1105463,234.01958333333334
1245977,117.49125
1352817,160.21
1245183,451.385
1490092,385.21
1278462,432.915
1090267,417.6
1231613,457.815
1164334,417.6
1300150,449.91
1231259,432.915
1243020,457.7966666666666
1433764,458.47166666666664
1124103,458.47166666666664
1031825,457.66666666666663
1437782,433.0516666666666
1087645,457.39666666666665
1185456,458.47166666666664
1450862,458.47166666666664
1465438,454.77166666666665
1035890,317.357
1267165,327.19899999999996
1262997,768.1216666666669
1088775,768.1216666666669
1217709,955.3213333333334
1430418,943.4363333333334
1275478,955.3213333333334
1435295,768.1216666666669
1346982,659.648
1160970,659.648
1310566,771.6000000000001
1014151,671.13675
1374002,484.8160357142857
1417996,669.76675
1141881,669.76675
1219590,613.27675
1373220,378.53675000000004
1355558,378.53675000000004
1042282,669.76675
1323969,671.13675
1480827,381.90675000000005
1161084,212.8
1351984,190.592
1196384,347.81
1231951,357.55
1004647,187.782
1441493,347.81
1337172,351.06666666666666
1127689,261.4195
1321298,261.4195
1475476,277.0
1207745,329.01
1332437,503.43
1295195,339.015
1238168,432.61
1401191,433.34
1320351,335.6
1015073,334.65
1440436,329.815
1488196,391.9425
1084735,345.87
1312130,142.64
1284072,233.725
1390606,151.28
1177870,181.9116666666667
1217412,105.375
1391279,105.375
1000635,110.795
1070142,117.2966666666667
1158077,170.09916666666663
1263948,110.795
1240615,1269.125
1397490,1313.84
1355088,1044.45
1401705,1313.84
1422185,622.65
1390157,1319.85
1460838,622.65
1377519,1319.85
1310657,1044.45
1491023,1306.41
1067356,292.3975
1282200,876.0675
1137357,288.03
1396043,876.0675
1269970,923.0
1350440,900.3925
1308326,923.0
1242087,936.875
1043619,256.63
1222185,265.105
1497941,590.84
1278537,569.1125
1355035,569.1125
1143583,425.625
1020166,732.98
1406416,425.625
1203123,425.625
1480428,553.01
1420069,590.84
1125502,553.01
1249505,243.13250000000005
1206767,241.98083333333335
1094469,161.04333333333332
1278323,159.9825
1173977,175.84366666666662
1140787,161.04333333333332
1116819,241.98083333333335
1252003,376.47
1352888,159.9825
1128508,159.9825
1034558,62.40142857142857
1176365,113.59217857142859
1094576,113.59217857142859
1392466,113.59217857142859
1055474,113.59217857142859
1217360,76.92434523809524
1271801,55.30267857142856
1345064,55.30267857142856
1401294,86.5557083333333
1024879,55.30267857142856
1001797,375.9366547619047
1131807,381.6235714285714
1494899,345.6883333333332
1268958,363.7249999999999
1288154,334.87182142857137
1203405,334.87182142857137
1040370,487.50357142857143
1044833,334.87182142857137
1350447,345.6883333333332
1347690,363.7249999999999
1025721,351.975
1457412,435.1291666666667
1251774,351.975
1380718,393.665
1262455,385.38716666666676
1043759,435.1291666666667
1153098,407.7421666666667
1142567,435.1291666666667
1044267,351.975
1263998,435.1291666666667
1185434,736.0033333333334
1101049,1656.375
1101699,1630.965
1089294,1656.24
1480593,683.005
1339799,1656.375
1261433,1504.775
1397430,822.855
1083089,736.0033333333334
1138673,1504.775
1306281,99.84041666666664
1042427,128.745
1039235,136.405
1270474,128.745
1387994,99.84041666666664
1204001,136.56
1146761,126.0075
1160004,163.685
1274185,135.81833333333333
1271542,130.095
1470774,560.8633333333332
